1741055698,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055698,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.10%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055698,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.14%,"103.4MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055698,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.49%,"891.9MiB / 15.48GiB",5.63%,"25.8MB / 90.4MB","0B / 0B",233
1741055698,82591176414e,reverse-proxy-api-1,82591176414e,0.12%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055712,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055712,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.09%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055712,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.10%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055712,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.70%,"892.4MiB / 15.48GiB",5.63%,"25.8MB / 90.4MB","0B / 0B",234
1741055712,82591176414e,reverse-proxy-api-1,82591176414e,0.16%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055724,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055724,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.07%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055724,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.17%,"103.4MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055724,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.44%,"892.8MiB / 15.48GiB",5.63%,"25.8MB / 90.4MB","0B / 0B",233
1741055724,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055737,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055737,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.07%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055737,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.10%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055737,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.54%,"893.3MiB / 15.48GiB",5.64%,"25.8MB / 90.4MB","0B / 0B",233
1741055737,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055749,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055749,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.14%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055749,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.08%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055749,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.48%,"894.1MiB / 15.48GiB",5.64%,"25.8MB / 90.4MB","0B / 0B",233
1741055749,82591176414e,reverse-proxy-api-1,82591176414e,0.07%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055761,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055761,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.09%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055761,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.11%,"103.4MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055761,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,17.49%,"895.4MiB / 15.48GiB",5.65%,"25.9MB / 90.4MB","0B / 0B",233
1741055761,82591176414e,reverse-proxy-api-1,82591176414e,0.09%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055774,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055774,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.09%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055774,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.09%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
1741055774,4f5e130150fc,reverse-proxy-controller-1,4f5e130150fc,0.91%,"895.8MiB / 15.48GiB",5.65%,"25.9MB / 90.4MB","0B / 0B",233
1741055774,82591176414e,reverse-proxy-api-1,82591176414e,0.08%,"82.84MiB / 15.48GiB",0.52%,"311MB / 189MB","0B / 0B",32
1741055786,228d84172da4,reverse-proxy-cache-1,228d84172da4,0.00%,"13.97MiB / 20MiB",69.84%,"1.53kB / 0B","0B / 0B",18
1741055786,bb792a3cdfcc,reverse-proxy-agent-1,bb792a3cdfcc,0.08%,"237MiB / 15.48GiB",1.50%,"369MB / 381MB","0B / 0B",37
1741055786,a08d6941ff5a,reverse-proxy-lb-1,a08d6941ff5a,0.08%,"103.2MiB / 15.48GiB",0.65%,"510MB / 587MB","0B / 0B",39
