Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728080,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"40.45MiB / 7.637GiB",0.52%,"9.24MB / 12.1MB","0B / 0B",37
1740728080,539c889625b4,reverse-proxy-api-1,539c889625b4,0.82%,"102.1MiB / 7.637GiB",1.31%,"6.94MB / 4.53MB","0B / 0B",27
1740728092,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,7.48%,"10.02MiB / 20MiB",50.08%,"409MB / 350MB","0B / 0B",12
1740728092,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.20%,"40.47MiB / 7.637GiB",0.52%,"9.32MB / 12.2MB","0B / 0B",37
1740728092,539c889625b4,reverse-proxy-api-1,539c889625b4,0.37%,"101.3MiB / 7.637GiB",1.30%,"7MB / 4.57MB","0B / 0B",29
1740728105,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,29.68%,"10.21MiB / 20MiB",51.04%,"413MB / 353MB","0B / 0B",12
1740728105,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.08%,"39.89MiB / 7.637GiB",0.51%,"9.38MB / 12.3MB","0B / 0B",37
1740728105,539c889625b4,reverse-proxy-api-1,539c889625b4,0.13%,"101.3MiB / 7.637GiB",1.30%,"7.05MB / 4.6MB","0B / 0B",24
1740728117,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.63%,"9.906MiB / 20MiB",49.53%,"417MB / 357MB","0B / 0B",12
1740728117,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.13%,"40MiB / 7.637GiB",0.51%,"9.51MB / 12.5MB","0B / 0B",37
1740728117,539c889625b4,reverse-proxy-api-1,539c889625b4,0.25%,"102.3MiB / 7.637GiB",1.31%,"7.15MB / 4.67MB","0B / 0B",25
1740728129,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,14.23%,"10.19MiB / 20MiB",50.94%,"421MB / 360MB","0B / 0B",12
1740728129,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.60%,"40.18MiB / 7.637GiB",0.51%,"9.69MB / 12.7MB","0B / 0B",37
1740728129,539c889625b4,reverse-proxy-api-1,539c889625b4,95.59%,"103.1MiB / 7.637GiB",1.32%,"7.28MB / 4.75MB","0B / 0B",28
1740728141,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,12.21%,"10.43MiB / 20MiB",52.15%,"425MB / 364MB","0B / 0B",12
1740728141,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.42%,"40.38MiB / 7.637GiB",0.52%,"9.92MB / 13MB","0B / 0B",37
1740728141,539c889625b4,reverse-proxy-api-1,539c889625b4,42.68%,"100.6MiB / 7.637GiB",1.29%,"7.46MB / 4.87MB","0B / 0B",33
1740728153,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,25.31%,"11.12MiB / 20MiB",55.59%,"430MB / 369MB","0B / 0B",12
1740728153,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.49%,"40.93MiB / 7.637GiB",0.52%,"10MB / 13.2MB","0B / 0B",37
1740728153,539c889625b4,reverse-proxy-api-1,539c889625b4,92.28%,"101.2MiB / 7.637GiB",1.29%,"7.56MB / 4.92MB","0B / 0B",27
1740728166,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,15.09%,"10.41MiB / 20MiB",52.03%,"436MB / 373MB","0B / 0B",12
1740728166,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.22%,"40.43MiB / 7.637GiB",0.52%,"10.2MB / 13.4MB","0B / 0B",37
