Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740728608,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.19%,"39.67MiB / 7.637GiB",0.51%,"13.1MB / 17.2MB","0B / 0B",37
1740728608,539c889625b4,reverse-proxy-api-1,539c889625b4,0.37%,"107.6MiB / 7.637GiB",1.38%,"9.85MB / 6.42MB","0B / 0B",53
1740728620,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.98%,"10.62MiB / 20MiB",53.09%,"555MB / 475MB","0B / 0B",12
1740728620,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"39.66MiB / 7.637GiB",0.51%,"13.1MB / 17.2MB","0B / 0B",37
1740728620,539c889625b4,reverse-proxy-api-1,539c889625b4,0.18%,"100.6MiB / 7.637GiB",1.29%,"9.86MB / 6.43MB","0B / 0B",19
1740728632,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,10.76%,"10.55MiB / 20MiB",52.73%,"558MB / 478MB","0B / 0B",12
1740728632,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.17%,"39.48MiB / 7.637GiB",0.50%,"13.1MB / 17.3MB","0B / 0B",37
1740728632,539c889625b4,reverse-proxy-api-1,539c889625b4,0.28%,"101.5MiB / 7.637GiB",1.30%,"9.88MB / 6.44MB","0B / 0B",28
1740728644,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.04%,"10.41MiB / 20MiB",52.07%,"562MB / 481MB","0B / 0B",12
1740728644,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"39.38MiB / 7.637GiB",0.50%,"13.2MB / 17.4MB","0B / 0B",37
1740728644,539c889625b4,reverse-proxy-api-1,539c889625b4,0.14%,"102.8MiB / 7.637GiB",1.32%,"9.92MB / 6.47MB","0B / 0B",45
1740728656,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,9.84%,"10.65MiB / 20MiB",53.24%,"566MB / 485MB","0B / 0B",12
